ticker,name,sector,sub_industry,date_added,source
AXON,Axon Enterprise,Industrials,Aerospace & Defense,2023-05-04,wikipedia_current
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,wikipedia_current
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1984-10-31,wikipedia_current
BAC,Bank of America,Financials,Diversified Banks,1976-06-30,wikipedia_current
BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,wikipedia_current
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,wikipedia_current
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,wikipedia_current
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,wikipedia_current
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,wikipedia_current
BIIB,Biogen,Health Care,Biotechnology,2003-11-13,wikipedia_current
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,wikipedia_current
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,2023-09-18,wikipedia_current
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-07-23,wikipedia_current
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,wikipedia_current
BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,wikipedia_current
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2009-11-06,wikipedia_current
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,wikipedia_current
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957-03-04,wikipedia_current
AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08,wikipedia_current
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,2018-06-18,wikipedia_current
BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,wikipedia_current
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,wikipedia_current
BLDR,Builders FirstSource,Industrials,Building Products,2023-12-18,wikipedia_current
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2023-03-15,wikipedia_current
BXP,"BXP, Inc.",Real Estate,Office REITs,2006-04-03,wikipedia_current
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,wikipedia_current
CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,wikipedia_current
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2022-04-04,wikipedia_current
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,1957-03-04,wikipedia_current
COF,Capital One,Financials,Consumer Finance,1998-07-01,wikipedia_current
CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,wikipedia_current
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,wikipedia_current
CARR,Carrier Global,Industrials,Building Products,2020-04-03,wikipedia_current
CVNA,Carvana,Consumer Discretionary,Automotive Retail,2025-12-22,wikipedia_current
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1957-03-04,wikipedia_current
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,wikipedia_current
CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,wikipedia_current
CDW,CDW Corporation,Information Technology,Technology Distributors,2019-09-23,wikipedia_current
COR,Cencora,Health Care,Health Care Distributors,2001-08-30,wikipedia_current
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,wikipedia_current
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,wikipedia_current
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,wikipedia_current
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,wikipedia_current
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,wikipedia_current
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,wikipedia_current
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,wikipedia_current
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,wikipedia_current
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,wikipedia_current
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,wikipedia_current
CIEN,Ciena,Information Technology,Communications Equipment,2026-02-09,wikipedia_current
CI,Cigna,Health Care,Health Care Services,1976-06-30,wikipedia_current
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,wikipedia_current
CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,wikipedia_current
CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,wikipedia_current
C,Citigroup,Financials,Diversified Banks,1988-05-31,wikipedia_current
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,wikipedia_current
CLX,Clorox,Consumer Staples,Household Products,1969-03-31,wikipedia_current
CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,wikipedia_current
CMS,CMS Energy,Utilities,Multi-Utilities,1957-03-04,wikipedia_current
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,wikipedia_current
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,wikipedia_current
COIN,Coinbase,Financials,Financial Exchanges & Data,2025-05-19,wikipedia_current
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,wikipedia_current
CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,wikipedia_current
FIX,Comfort Systems USA,Industrials,Construction & Engineering,2025-12-22,wikipedia_current
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,wikipedia_current
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,wikipedia_current
ED,Consolidated Edison,Utilities,Multi-Utilities,1957-03-04,wikipedia_current
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,wikipedia_current
CEG,Constellation Energy,Utilities,Electric Utilities,2022-02-02,wikipedia_current
COO,Cooper Companies (The),Health Care,Health Care Supplies,2016-09-23,wikipedia_current
CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,wikipedia_current
GLW,Corning Inc.,Information Technology,Electronic Components,1995-02-27,wikipedia_current
CPAY,Corpay,Financials,Transaction & Payment Processing Services,2018-06-20,wikipedia_current
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,wikipedia_current
CSGP,CoStar Group,Real Estate,Real Estate Services,2022-09-19,wikipedia_current
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1993-10-01,wikipedia_current
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,wikipedia_current
CRH,CRH plc,Materials,Construction Materials,2025-12-22,wikipedia_current
CRWD,CrowdStrike,Information Technology,Systems Software,2024-06-24,wikipedia_current
CCI,Crown Castle,Real Estate,Telecom Tower REITs,2012-03-14,wikipedia_current
CSX,CSX Corporation,Industrials,Rail Transportation,1957-03-04,wikipedia_current
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,1965-03-31,wikipedia_current
CVS,CVS Health,Health Care,Health Care Services,1957-03-04,wikipedia_current
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1998-11-18,wikipedia_current
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-31,wikipedia_current
DDOG,Datadog,Information Technology,Application Software,2025-07-09,wikipedia_current
DVA,DaVita,Health Care,Health Care Services,2008-07-31,wikipedia_current
DECK,Deckers Brands,Consumer Discretionary,Footwear,2024-03-18,wikipedia_current
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,1957-03-04,wikipedia_current
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2024-09-23,wikipedia_current
DAL,Delta Air Lines,Industrials,Passenger Airlines,2013-09-11,wikipedia_current
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30,wikipedia_current
DXCM,Dexcom,Health Care,Health Care Equipment,2020-05-12,wikipedia_current
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03,wikipedia_current
DLR,Digital Realty,Real Estate,Data Center REITs,2016-05-18,wikipedia_current
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,2012-12-03,wikipedia_current
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2011-12-19,wikipedia_current
D,Dominion Energy,Utilities,Multi-Utilities,2016-11-30,wikipedia_current
DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,wikipedia_current
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2025-03-24,wikipedia_current
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,1985-10-31,wikipedia_current
DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01,wikipedia_current
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,wikipedia_current
DTE,DTE Energy,Utilities,Multi-Utilities,1957-03-04,wikipedia_current
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,wikipedia_current
